rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
66,maluma,Colombia,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,84,38.591301439366404,8200.0,62800000.0,62.8,1200000.0,1.2,696300.0,0.6963,9800000000.0,9.8,0.011200000000000002,1.12,0.01910828025477707,1.910828025477707,False,24.285278502190778,5.281915405303381,4.240817872018175,87.32394366197182
67,akshaykumar,None,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,85,39.375506743359686,1900.0,62800000.0,62.8,1500000.0,1.5,624900.0,0.6249,2900000000.0,2.9,0.0101,1.01,0.02388535031847134,2.388535031847134,False,24.285278502190778,6.696810974247786,3.8243089738735323,88.73239436619718
68,jacquelinef143,India,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,85,38.97056268398025,2400.0,62700000.0,62.7,1100000.0,1.1,718800.0,0.7188,2800000000.0,2.8,0.0115,1.15,0.017543859649122806,1.7543859649122806,False,24.225694106437626,4.818557792081822,4.354411207875804,88.73239436619718
69,psg,France,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,86,38.285323664871804,10000.0,61900000.0,61.9,500500.0,0.5005,322200.0,0.3222,5000000000.0,5.0,0.0052,0.52,0.00808562197092084,0.808562197092084,False,23.745569365498522,2.0171715024777934,1.9689511548655811,90.14084507042254
70,roses_are_rosie,None,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,82,46.436493235160334,820.0,61800000.0,61.8,4600000.0,4.6,6000000.0,6.0,3800000000.0,3.8,0.09720000000000001,9.72,0.0744336569579288,7.443365695792881,False,23.68511793694826,21.668451358040294,36.80424081787202,84.50704225352112
71,manchesterunited,United Kingdom,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,85,37.251591106679314,9900.0,59600000.0,59.6,381800.0,0.3818,241600.0,0.2416,3800000000.0,3.8,0.0040999999999999995,0.4099999999999999,0.006406040268456376,0.6406040268456376,False,22.329842037842894,1.5197049221657408,1.5524422567209388,88.73239436619718
72,anushkasharma,None,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,85,40.22222783840871,1200.0,59500000.0,59.5,1900000.0,1.9,1400000.0,1.4,2200000000.0,2.2,0.023399999999999997,2.34,0.031932773109243695,3.1932773109243695,False,22.26705579237462,9.080335330447124,8.860280196895115,88.73239436619718
73,whinderssonnunes,Brazil,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,79,35.79212402369089,2700.0,58700000.0,58.7,1600000.0,1.6,323100.0,0.3231,4400000000.0,4.4,0.0058,0.58,0.027257240204429302,2.72572402044293,False,21.76093367644843,7.695513525183556,2.1961378265808404,80.28169014084507
74,9gag,United States,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,86,37.906185734555216,10000.0,58100000.0,58.1,672600.0,0.6726,248600.0,0.2486,6700000000.0,6.7,0.0044,0.44,0.01157659208261618,1.157659208261618,False,21.376794677138058,3.051143806944125,1.666035592578569,90.14084507042254
75,marcelotwelve,Brazil,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,86,38.12261704727529,2700.0,58100000.0,58.1,690900.0,0.6909,448300.0,0.4483,1900000000.0,1.9,0.0078000000000000005,0.78,0.01189156626506024,1.189156626506024,False,21.376794677138058,3.144434373992527,2.953426732298372,90.14084507042254
76,milliebobbybrown,United States,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,80,43.804191398516146,280.0,57600000.0,57.6,4000000.0,4.0,5000000.0,5.0,1100000000.0,1.1,0.0863,8.63,0.06944444444444445,6.944444444444445,False,21.053636223128958,20.190722418810154,32.677016281711474,81.69014084507043
77,karimbenzema,Spain,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,42,16.977188234202647,2000.0,56900000.0,56.9,878500.0,0.8785,918900.0,0.9189,1800000000.0,1.8,0.016200000000000003,1.6200000000000003,0.015439367311072056,1.5439367311072056,False,20.596469999012655,4.195239137700867,6.134040136312004,28.169014084507044
78,chrishemsworth,Australia,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,86,42.242990157307844,880.0,55900000.0,55.9,2800000.0,2.8,2100000.0,2.1,2500000000.0,2.5,0.0369,3.6900000000000004,0.05008944543828265,5.008944543828265,False,19.93352354677185,14.458065797574898,13.971980310488451,90.14084507042254
79,karolg,India,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,83,44.85922093317101,3300.0,55600000.0,55.6,3100000.0,3.1,5700000.0,5.7,10100000000.0,10.1,0.1025,10.25,0.05575539568345324,5.575539568345324,False,19.732325570606076,16.136234170418838,38.81105641802347,85.91549295774648
80,paulpogba,France,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,80,35.723479193591814,1300.0,55200000.0,55.2,1400000.0,1.4,462600.0,0.4626,1800000000.0,1.8,0.0085,0.8500000000000001,0.025362318840579712,2.536231884057971,False,19.462366272598448,7.134266609090499,3.218477849299508,81.69014084507043
